                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4668,                 1.0054,                 1.2978,                0.81072,                0.65182,                0.71821,                0.27728,                  1.976,                 1.6103,                 1.6737,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.4712,                0.95087,                 1.2949,                0.67289,                0.56522,                0.64429,                0.27025,                 1.9014,                 1.6594,                 1.6521,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.3963,                0.92173,                 1.2581,                0.64867,                0.56522,                0.63815,                0.25747,                 1.9528,                 1.7301,                 1.6642,               0.000614,               0.000614,               0.000614
                     37,                 1.4371,                0.96748,                 1.3161,                 0.5985,                0.58696,                0.64038,                0.23473,                 2.0286,                 1.5682,                 1.7252,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3101,                0.88386,                 1.1881,                 0.7177,                0.71851,                0.75334,                0.28791,                 2.0069,                 1.3014,                 1.7241,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.3299,                0.86273,                 1.2505,                0.75112,                0.69565,                0.72501,                0.29218,                 1.9952,                 1.3245,                 1.7319,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.3531,                0.78592,                 1.2102,                0.77697,                 0.6817,                0.71996,                0.30248,                 1.9651,                 1.3188,                 1.7019,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.3754,                0.81913,                  1.218,                0.89209,                0.56522,                0.68582,                0.28778,                 1.9889,                 1.3879,                 1.7269,               0.000416,               0.000416,               0.000416
                     42,                 1.3191,                0.82343,                 1.2172,                0.76436,                0.63473,                0.67861,                0.29174,                 1.9554,                  1.552,                 1.7111,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.3762,                0.82049,                 1.2235,                0.63461,                0.67391,                0.68631,                0.28423,                 1.9385,                 1.6483,                 1.7155,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.2571,                0.76618,                 1.1837,                0.79088,                0.54348,                0.68009,                0.27529,                 1.8806,                 1.6517,                 1.6735,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.2387,                0.73477,                 1.1377,                 0.7649,                0.56522,                0.68935,                0.29337,                 1.8796,                 1.6796,                 1.6669,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.2728,                0.86305,                 1.1931,                0.72102,                0.63043,                0.72546,                0.30818,                 1.8642,                 1.5312,                 1.6802,               0.000218,               0.000218,               0.000218
                     47,                 1.2206,                0.74739,                 1.1759,                0.75406,                0.66665,                0.73932,                0.31044,                  1.865,                 1.3975,                 1.6447,              0.0001784,              0.0001784,              0.0001784
                     48,                  1.211,                0.73158,                 1.1403,                0.78243,                0.65217,                0.73971,                0.31144,                 1.8897,                 1.3711,                  1.655,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.1742,                0.73824,                 1.1382,                0.71077,                0.65217,                0.73318,                 0.3129,                 1.9046,                 1.3636,                 1.6706,               9.92e-05,               9.92e-05,               9.92e-05
